Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
-0.2,-1102.64,259.6,-229.58,38.44,-46.12,4.07,-12.2,0.57
-0.29,-1106.67,255.1,-230.33,37.21,-36.75,-0.16,-9.81,-0.1
-0.37,-1067.62,253.08,-219.39,36.78,-16.74,-1.59,-4.37,-0.32
3.4,-1009.31,230.42,-203.32,33.39,12.99,-5.95,3.83,-1.09
7.94,-1002.96,219.64,-201.66,31.8,28.22,-9.58,8,-1.6
9.26,-1005.88,188.03,-203.04,27.1,25.3,-16.05,6.98,-2.44
9.54,-1021.27,163.31,-209.43,23.42,8.31,-21.66,1.77,-3.25
8.6,-1040.9,151.09,-215.64,21.61,-9.7,-21.16,-3.55,-3.17
7.94,-1059.93,138.4,-221.32,19.13,-16.88,-19.78,-5.62,-3.09
7.66,-1086.93,129.85,-229.12,18.32,-22.61,-14.11,-6.97,-2.22
7.2,-1136.51,126.41,-243.27,17.34,-30.65,-9.62,-8.8,-1.6
7.09,-1183.46,124.93,-257.24,16.41,-39.34,-6.66,-11.25,-1.29
7.2,-1214.09,121,-266.29,16.25,-43.5,-4.27,-12.52,-0.85
5.8,-1206.77,94.02,-264.79,12.31,-34.26,-8.07,-10.04,-1.4
1.77,-1208.27,53.97,-266.85,6.27,-18.59,-17.98,-5.92,-2.72
-4.89,-1175.05,3.4,-258.83,-0.84,1.03,-31.43,-0.65,-4.55
-8.77,-1059.06,-33.89,-228.58,-5.79,33.62,-40.42,8.04,-5.82
-10.89,-795.25,-95.75,-161.47,-14.58,97.42,-47.04,24.59,-6.66
-11.94,-414.99,-150.36,-70.84,-21.71,197.79,-50.98,49.29,-7.03
-12.8,-7.84,-184.14,21.23,-26.04,300.14,-49.24,72.42,-6.67
-13.31,422.08,-208.38,111.52,-29,378.58,-43.68,87.24,-5.79
-13.71,811.84,-222.67,188.88,-30.42,410.11,-30.95,89.57,-3.87
-14.17,1196.25,-228.67,261.16,-29.94,410.57,-19.07,84.72,-2.02
-14.63,1534.48,-226.89,321.29,-28.66,393.61,-9.92,76.8,-0.51
-15.26,1838.43,-226.64,372.62,-27.74,364.6,-3.18,67.55,0.58
-14.97,2107.45,-219.86,415.43,-26.43,333.69,1.92,58.79,1.22
-15.06,2366.62,-214.98,455.32,-25,302.92,4.88,50.81,1.46
-15.14,2525.22,-212.49,479.21,-23.85,263.56,5.75,42.61,1.54
-15.17,2657.61,-211.96,498.77,-23.59,219.08,5.6,34.52,1.43
